Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-Feb-22,AVAIL,10,10,0,0,0,0
10-Feb-22,AVANTIFEED,600.2,599.35,0.0014,0.0231,0.0231,0.4413
10-Feb-22,AVTNPL,101.3,100.75,0.0054,0.03,0.03,0.5731
10-Feb-22,AWHCL,303.85,304.7,-0.0028,0.0247,0.0246,0.47
10-Feb-22,AWL,386.15,321.65,0.1828,0,0.0129,0.2465
10-Feb-22,AXISBANK,809.8,803.85,0.0074,0.0236,0.0235,0.449
10-Feb-22,AXISBNKETF,391.28,386.26,0.0129,0.0117,0.0117,0.2235
10-Feb-22,AXISBPSETF,10.41,10.39,0.0019,0.0009,0.0009,0.0172
10-Feb-22,AXISCADES,105.5,100.5,0.0486,0.0374,0.0375,0.7164
10-Feb-22,AXISCETF,69.9,69.94,-0.0006,0.0097,0.0097,0.1853
10-Feb-22,AXISGOLD,42.12,41.94,0.0043,0.0101,0.01,0.191
10-Feb-22,AXISHCETF,83.59,84.29,-0.0083,0.0052,0.0053,0.1013
10-Feb-22,AXISNIFTY,184.44,184.14,0.0016,0.0144,0.0143,0.2732
10-Feb-22,AXISTECETF,356.74,355.88,0.0024,0.0107,0.0107,0.2044
10-Feb-22,AYMSYNTEX,129.35,126.25,0.0243,0.0324,0.0324,0.619
10-Feb-22,BAFNAPH,177.85,175.5,0.0133,0.1126,0.1123,2.1455
10-Feb-22,BAGFILMS,5.15,4.95,0.0396,0.0381,0.0381,0.7279
10-Feb-22,BAJAJ-AUTO,3569.35,3563.6,0.0016,0.0163,0.0163,0.3114
10-Feb-22,BAJAJCON,174.95,174.95,0,0.0234,0.0233,0.4451
10-Feb-22,BAJAJELEC,1187.5,1186.85,0.0005,0.0276,0.0275,0.5254
10-Feb-22,BAJAJFINSV,16393.35,16257.95,0.0083,0.0241,0.0241,0.4604
10-Feb-22,BAJAJHCARE,412.75,417.5,-0.0114,0.0144,0.0144,0.2751
10-Feb-22,BAJAJHIND,16.15,16.95,-0.0483,0.038,0.038,0.726
10-Feb-22,BAJAJHLDNG,5215.45,5213.35,0.0004,0.0201,0.02,0.3821
10-Feb-22,BAJFINANCE,7137.2,7117.3,0.0028,0.0249,0.0249,0.4757
10-Feb-22,BALAJITELE,87.1,75.45,0.1436,0.0275,0.0293,0.5598
10-Feb-22,BALAMINES,3127.1,3120.7,0.002,0.0363,0.0362,0.6916
10-Feb-22,BALAXI,445.8,454.7,-0.0198,0.028,0.028,0.5349
10-Feb-22,BALKRISHNA,49.75,52.15,-0.0471,0.0397,0.0397,0.7585
10-Feb-22,BALKRISIND,2271.4,2293.5,-0.0097,0.0212,0.0212,0.405
10-Feb-22,BALMLAWRIE,128.05,127.5,0.0043,0.0212,0.0211,0.4031
10-Feb-22,BALPHARMA,122.5,123.75,-0.0102,0.0376,0.0375,0.7164
10-Feb-22,BALRAMCHIN,440.8,443.6,-0.0063,0.0319,0.0318,0.6075
10-Feb-22,BANARBEADS,99.25,101.25,-0.02,0.0399,0.0398,0.7604
10-Feb-22,BANARISUG,2807.55,2841.55,-0.012,0.026,0.026,0.4967
10-Feb-22,BANCOINDIA,166.7,157.15,0.059,0.0277,0.028,0.5349
10-Feb-22,BANDHANBNK,321.45,321.2,0.0008,0.0307,0.0306,0.5846
10-Feb-22,BANG,37.45,38.15,-0.0185,0.0368,0.0367,0.7012
10-Feb-22,BANKA,75.95,79.9,-0.0507,0.0336,0.0337,0.6438
10-Feb-22,BANKBARODA,114.7,114.85,-0.0013,0.028,0.0279,0.533
10-Feb-22,BANKBEES,393.34,389.21,0.0106,0.0163,0.0163,0.3114
10-Feb-22,BANKINDIA,56.25,56.65,-0.0071,0.0284,0.0283,0.5407
10-Feb-22,BANSWRAS,238.35,246.5,-0.0336,0.037,0.037,0.7069
10-Feb-22,BARBEQUE,1410.8,1419.1,-0.0059,0.0305,0.0304,0.5808
10-Feb-22,BARTRONICS,7.25,7.35,-0.0137,0.0413,0.0412,0.7871
10-Feb-22,BASANT,10,10,0,0,0,0
